#{"t_start": 1779453669.364063, "env_id": "None"}
r,l,t
-9.532286,12,0.80535
0.11020088,55,0.840088
0.6814079,54,0.913745
-2.9980595,32,0.940251
-6.7363787,44,0.941308
-2.2723153,45,1.009882
-9.827821,11,1.018969
-3.7562418,55,1.01904
-1.9940581,49,1.089987
-1.5982692,53,1.093156
-9.564208,12,1.099864
-3.6415882,48,1.132647
-2.623231,45,1.16766
-3.87081,32,1.193642
-7.0287395,47,1.2017
-10.0,12,1.203806
-2.2896428,40,1.266024
-2.3259645,39,1.267062
-9.232427,12,1.276739
-9.088632,12,1.286356
-9.220684,12,1.296821
-9.050348,12,1.336233
-3.4336514,51,1.33846
-8.665842,12,1.348567
-3.9900832,29,1.360083
-9.859656,12,1.369994
-3.8309207,43,1.383388
-9.601274,12,1.424275
-2.2040057,40,1.434844
-4.1124425,37,1.455925
