episode_index,terminated,truncated,success_reason,failure_reason,time_limit_reached,episode_steps,contact_count,first_contact_step,reward_total_sum,reward_height_sum,reward_distance_sum,reward_contact_sum,reward_success_sum,reward_failure_sum
1,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
2,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
3,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
4,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
5,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
6,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
7,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
8,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
9,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
10,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
11,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
12,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
13,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
14,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
15,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
16,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
17,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
18,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
19,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
20,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
21,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
22,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
23,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
24,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
25,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
26,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
27,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
28,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
29,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
30,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
31,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
32,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
33,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
34,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
35,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
36,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
37,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
38,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
39,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
40,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
41,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
42,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
43,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
44,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
45,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
46,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
47,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
48,True,False,,ball_out_of_bounds,False,72,7,11,3.0837057033020714,3.3337057033020714,0.0,0.0,0.0,-0.25
